674,535,800,535,800,604,674,604
812,535,932,535,932,617,812,617
934,532,1151,548,1145,626,928,610
611,982,819,982,819,1071,611,1071
825,982,1039,982,1039,1071,825,1071
1049,969,1347,993,1339,1094,1041,1070
106,1003,333,982,342,1082,115,1102
346,989,472,989,472,1071,346,1071
478,989,604,989,604,1089,478,1089
1403,1113,1674,1105,1677,1183,1405,1191
825,1115,1020,1115,1020,1203,825,1203
1052,1115,1178,1115,1178,1197,1052,1197
1184,1115,1398,1115,1398,1197,1184,1197
403,1121,541,1121,541,1203,403,1203
541,1121,604,1121,604,1190,541,1190
611,1121,674,1121,674,1190,611,1190
245,1127,396,1127,396,1209,245,1209
686,1127,812,1127,812,1190,686,1190
1302,1244,1593,1236,1595,1316,1304,1324
108,1263,351,1242,359,1342,116,1362
390,1253,529,1253,529,1329,390,1329
541,1253,648,1253,648,1335,541,1335
1014,1260,1197,1260,1197,1323,1014,1323
655,1266,844,1266,844,1341,655,1341
856,1266,995,1266,995,1341,856,1341
1203,1266,1297,1266,1297,1348,1203,1348
871,1380,1032,1370,1037,1455,877,1465
1127,1373,1285,1373,1285,1455,1127,1455
529,1379,856,1379,856,1480,529,1480
1039,1379,1115,1379,1115,1449,1039,1449
1291,1379,1474,1379,1474,1455,1291,1455
119,1386,434,1386,434,1486,119,1486
1486,1386,1625,1386,1625,1461,1486,1461
441,1392,522,1392,522,1455,441,1455
1593,1493,1675,1493,1675,1575,1593,1575
1008,1499,1096,1499,1096,1575,1008,1575
1102,1499,1304,1499,1304,1581,1102,1581
1310,1499,1568,1499,1568,1575,1310,1575
592,1505,793,1505,793,1587,592,1587
800,1505,1001,1505,1001,1581,800,1581
472,1512,573,1512,573,1581,472,1581
132,1524,308,1524,308,1587,132,1587
321,1524,453,1524,453,1587,321,1587
1477,1626,1655,1616,1659,1702,1481,1711
1045,1631,1197,1631,1197,1726,1045,1726
1203,1631,1291,1631,1291,1707,1203,1707
403,1638,585,1638,585,1713,403,1713
182,1644,390,1644,390,1738,182,1738
599,1641,858,1650,856,1730,596,1721
1297,1644,1474,1644,1474,1732,1297,1732
869,1650,1039,1650,1039,1726,869,1726
132,1669,170,1669,170,1713,132,1713
573,1757,680,1757,680,1833,573,1833
333,1764,466,1764,466,1839,333,1839
472,1764,567,1764,567,1845,472,1845
693,1764,995,1764,995,1858,693,1858
138,1770,315,1770,315,1839,138,1839
1367,1877,1455,1877,1455,1953,1367,1953
674,1883,768,1883,768,1965,674,1965
863,1883,1039,1883,1039,1959,863,1959
1467,1883,1587,1883,1587,1953,1467,1953
239,1896,390,1896,390,1971,239,1971
762,1896,850,1896,850,1959,762,1959
1197,1896,1354,1896,1354,1953,1197,1953
392,1909,660,1890,665,1968,398,1987
1052,1902,1190,1902,1190,1959,1052,1959
812,2009,1102,2009,1102,2110,812,2110
1115,2009,1285,2009,1285,2091,1115,2091
1285,2009,1436,2009,1436,2079,1285,2079
340,2016,491,2016,491,2097,340,2097
497,2016,800,2016,800,2091,497,2091
1440,2022,1662,2013,1665,2073,1443,2082
135,2040,307,2029,311,2091,139,2102
585,2135,674,2135,674,2217,585,2217
812,2135,1096,2135,1096,2211,812,2211
674,2142,800,2142,800,2217,674,2217
134,2155,270,2145,275,2216,139,2226
289,2148,434,2148,434,2217,289,2217
453,2154,579,2154,579,2217,453,2217
1367,2249,1556,2249,1556,2331,1367,2331
